abandonovaný | dva
naděrovaný | dva
naděrovat | dva
nadfakturovaný | dva
nadfakturovat | dva
nadhazovač | dva
nadhazovačův | dva
nadhazovaný | dva
nadhazovat | dva
nadcházívat | dva
nadiktovaný | dva
nadiktovat | dva
nadimenzovaný | dva
nadimenzovat | dva
nadívaný | dva
nadívat | dva
nádivka | dva
nadlehčovat | dva
nadlepšovat | dva
nadlétávat | dva
nadlítávat | dva
nadloubávaný | dva
nadloubávat | dva
nadolovat | dva
nadorganismus | osm
nadouvadlo | dva
nadouvající | dva
nadouvaný | dva
nadouvat | dva
nadpisovaný | dva
nadpisovat | dva
nadrážkovat | dva
nadrbávaný | dva
nadrbávat | dva
nadrogovaný | dva
nadrogovat | dva
nadrovina | dva
nadržovaný | dva
nadržovat | dva
nadřaďovat | dva
nadřazovaný | dva
nadřazovat | dva
nadsazovaný | dva
nadsazovat | dva
nadskakovat | dva
nadstavba | dva
nadtrhávající | dva
nadtrhávanější | dva
nadtrhávaný | dva
nadtrhávat | dva
naducávat | dva
nadupávaný | dva
nadupávat | dva
nadužívající | dva
nadužívaný | dva
nadužívat | dva
nadváha | dva
nadvakrát | dva
nadvarle | dva
nadvláda | dva
nadvýroba | dva
nadzvedaný | dva
nadzvedat | dva
naemulovaný | nula
naemulovat | nula
nafládrovaný | dva
nafládrovat | dva
naformulovaný | nula
naformulovat | nula
naformulovávaný | nula
naformulovávat | nula
nahlodávaný | dva
nahlodávat | dva
nahosemenný | osm
naindukovat | dva
najodovat | dva
najódovat | dva
nakamuflovat | nula
naklápět | pět
nakomandovat | dva
nakřídovaný | dva
nakřídovat | dva
nakulhat | nula
nakulhávat | nula
nakulmovaný | nula
nakulmovat | nula
nakvedlávaný | dva
nakvedlávat | dva
nakydávaný | dva
nakydávat | dva
naládovaný | dva
naládovat | dva
namodelovaný | dva
namodelovat | dva
namodulovaný | nula dva
namodulovat | nula dva
namudrovat | dva
nandávanější | dva
nandávaný | dva
nandavat | dva
nandávat | dva
naobědvaný | dva
naobědvat | dva
naondulovaný | dva
naondulovat | dva
naordinovanější | dva
naordinovaný | dva
naordinovat | dva
naostřit | tři
napadávaný | dva
napadávat | dva
napádlovat | dva
napěchovat | pět
napěnit | pět
napěňovat | pět
napětí | pět
naplesnivět | pět
napodobovací | dva
napodobovaný | dva
napodobovat | dva
napodobovatelčin | dva
napodobovatel | dva
napodobovatelův | dva
napochodovaný | dva
napochodovat | dva
napomádovaný | dva
napomádovat | dva
naposedmé | sedm osm
napošesté | šest
napouštět | pět
napudrovaný | dva
napudrovat | dva
národověda | dva
nasedávat | dva
nasimulovaný | nula
nasimulovat | nula
nasimulovávaný | nula
nasimulovávat | nula
naskládávaný | dva
naskládávat | dva
následkem | sedm
následovanější | dva
nasledovaný | dva
následovaný | dva
nasledovat | dva
následovat | dva
následovatelný | dva
následovatel | dva
následovatelův | dva
nasnídávaný | dva
nasnídávat | dva
naspěchat | pět
nástrojařčin | tři
nastřelit | tři
nastřihání | tři
nastřihaný | tři
nastřihat | tři
nastřihávání | tři
nastřihávaný | tři
nastřihávat | tři
nástřih | tři
nastřihnout | tři
nastřihnutí | tři
nastřihování | tři
nastřihovaný | tři
nastřihovat | tři
nástřihový | tři
nástřik | tři
nastřikování | tři
nastřikovaný | tři
nastřikovat | tři
nastřikovávání | tři
nastřikovávaný | tři
nastřikovávat | tři
nástřikový | tři
nastřižený | tři
nastudovanější | dva
nastudovaný | dva
nastudovat | dva
nasvědčovat | dva
našetřit | tři
našmudlat | nula
našpendlovat | dva
natrpět | pět
natřásti | tři
natřikrát | tři
naturalista | nula
naturalistka | nula
naturalizační | nula
naturalizovaný | nula
naturalizovat | nula
navodíkovaný | dva
navyprávět | pět
navzdychávat | dva
nazdávat | dva
nazdvihaný | dva
nazdvíhat | dva
nazdvihat | dva
nazpět | pět
nažužlaný | nula
nažužlat | nula
nedávna | dva
několikasetkilogramový | osm
několikasetkilometrový | osm
několikasetmegawattový | osm
několikasetmetrový | osm
několikasetmiliardový | osm
několikasetmilionový | osm
několikasetmiliónový | osm
několikavteřinový | tři
nelogismus | osm
neodarwinismus | osm
neofašismus | osm
neohumanismus | osm
neoimperialismus | osm
neoliberalismus | osm
neomarxismus | osm
neonacismus | osm
neorealismus | osm
neosurrealista | nula
neosurrealistka | nula
neovulgáta | nula
nepaměti | pět
nepamětna | pět
nepamětno | pět
nepojízdnět | pět
nepotismus | osm
nesouhlas | nula
nesoulad | nula
nestvořitelný | tři
neteřička | tři
netřebický | tři
netvořický | tři
neurofyzioložka | nula
neurolingvistika | nula
neuroložka | nula
neuropsycholožka | nula
neuroticismus | osm
neurotransmitter | osm
neutralisační | nula
neutralita | nula
neutralizace | nula
neutralizační | nula
neutralizovaný | nula
neutralizovat | nula
nevydávající | dva
newfoundlandský | nula
nikotinismus | osm
nitrocelulóza | nula
nomádismus | osm
nominalismus | osm
normativismus | osm
notářčin | tři
novotářčin | tři
nudlička | nula
nukleace | nula
nukleační | nula
nukleáza | nula
nulakrát | nula
nula | nula
nula | nula
nulita | nula
nulovací | nula
nulovaný | nula
nulovat | nula
nulovávaný | nula
nulovávat | nula
obdarovanější | dva
obdarovaný | dva
obdarovat | dva
obdařovat | dva
obdělávající | dva
obdělávaní | dva
obdělávaný | dva
obdělávatelnější | dva
obdělavatelný | dva
obdělávat | dva
obdělávka | dva
obdržovanější | dva
obdržovaný | dva
obdržovat | dva
obědvající | dva
obědvaný | dva
obědvat | dva
obezdívat | dva
obezdívka | dva
obhlodávaný | dva
obhlodávat | dva
obhospodařovanější | dva
obhospodařovaný | dva
obhospodařovat | dva
obhospodařovatelnější | dva
obhospodařovatelný | dva
obhospodařovatel | dva
obhospodařovatelův | dva
obchodovanější | dva
obchodovaný | dva
obchodovat | dva
obchodovatelnější | dva
obchodovatelný | dva
objednací | jedna
objednající | jedna
objednanější | jedna
objednaný | jedna
objednatel | jedna
objednatelův | jedna
objednat | jedna
objednávající | jedna dva
objednávanější | jedna dva
objednávaný | jedna dva
objednavatel | dva
objednávatel | jedna dva
objednavatelův | dva
objednávatelův | jedna dva
objednávat | jedna dva
objednávka | jedna dva
objektivismus | osm
obodávaný | dva
obodávat | dva
obodovat | dva
obsedávat | dva
obstojím | osm
obstřelit | tři
obstřihávání | tři
obstřihávaný | tři
obstřihávat | tři
obstřih | tři
obstřihnout | tři
obstřihnutí | tři
obstřihování | tři
obstřihovaný | tři
obstřihovat | tři
obstřik | tři
obstřikovací | tři
obstřikování | tři
obstřikovaný | tři
obstřikovat | tři
obstřižený | tři
obstůjme | osm
odalkoholizovat | dva
odaretovaný | dva
odaretovat | dva
odbagrovaný | dva
odbagrovat | dva
odbelhávat | dva
odbíhávaný | dva
odbíhávat | dva
odblaňovat | dva
odblokovaný | dva
odblokovat | dva
odbočovaný | dva
odbočovat | dva
odbourávající | dva
odbourávaný | dva
odbourávat | dva
odbrnkávat | dva
odbrušovanější | dva
odbrušovaný | dva
odbrušovat | dva
odbrzďovaný | dva
odbrzďovat | dva
odbřitovat | dva
odbyrokratizovaný | dva
odbyrokratizovat | dva
odbývající | dva
odbývanější | dva
odbývaný | dva
odbývat | dva
odcentrovaný | dva
odcentrovat | dva
odcestovaný | dva
odcestovat | dva
odcinkávající | dva
odcitovaný | dva
odcitovat | dva
odcizovaný | dva
odcizovat | dva
odcouvaný | dva
odcouvat | dva
odcucávat | dva
odcupitávat | dva
odcválat | dva
odčárkovaný | dva
odčárkovat | dva
odčarovaný | dva
odčarovat | dva
odčerpávající | dva
odčerpávaný | dva
odčerpávat | dva
odčesávaný | dva
odčesávat | dva
odčiňovaný | dva
odčiňovat | dva
odčleňovaný | dva
odčleňovat | dva
odehrávající | dva
odehrávanější | dva
odehrávaný | dva
odehrávat | dva
odepisovanější | dva
odepisovaný | dva
odepisovat | dva
odervanější | dva
odervaní | dva
odervaný | dva
odervat | dva
odespávat | dva
odestetizování | deset
odestetizovaný | dva deset
odestetizovat | dva
odestojím | osm
odestůjme | osm
odevšad | dva
odevzdanější | dva
odevzdaný | dva
odevzdat | dva
odeznívající | dva
odeznívat | dva
odezvánět | devět
odezva | dva
odfaxovaný | dva
odfaxovat | dva
odfiltrovanější | dva
odfiltrovaný | dva
odfiltrovat | dva
odformalizovaný | dva
odformalizovat | dva
odfotografovaný | dva
odfotografovat | dva
odfoukávat | dva
odfrézovaný | dva
odfrézovat | dva
odfukovaný | dva
odfukovat | dva
odgermanizovaný | dva
odgermanizovat | dva
odhákovaný | dva
odhákovat | dva
odhalovaný | dva
odhalovat | dva
odhazovaný | dva
odhazovat | dva
odhlasovaný | dva
odhlasovat | dva
odhlašovací | dva
odhlašovanější | dva
odhlašovaní | dva
odhlašovaný | dva
odhlašovat | dva
odhmyzovaččin | dva
odhmyzovač | dva
odhmyzovačův | dva
odhmyzovat | dva
odhojovací | dva
odhrabávaný | dva
odhrabávat | dva
odhrabovaný | dva
odhrabovat | dva
odhrnovanější | dva
odhrnovaný | dva
odhrnovat | dva
odhryzávaný | dva
odhryzávat | dva
odhumanizovat | dva
odhupkovat | dva
odhvízdaný | dva
odhvízdat | dva
odhypnotizovaný | dva
odcházívat | dva
odchlipovat | dva
odchovancův | dva
odchovančin | dva
odchovanec | dva
odchovaný | dva
odchovat | dva
odchovna | dva
odchylovanější | dva
odchylovaný | dva
odchylovat | dva
odchytávač | dva
odchytávající | dva
odchytávaný | dva
odchytávat | dva
odinstalovanější | dva
odinstalovaný | dva
odinstalovat | dva
odintelektualizovat | nula dva
odisolovaný | dva
odisolovat | dva
odívaný | dva
odívat | dva
odizolovaný | dva
odizolovat | dva
odjakživa | dva
odjišťovanější | dva
odjišťovaný | dva
odjišťovat | dva
odkalovací | dva
odkalovanější | dva
odkalovaný | dva
odkalovat | dva
odkanalizovaný | dva
odkanalizovat | dva
odkapávač | dva
odkapávat | dva
odkašlávací | dva
odkašlávaný | dva
odkašlávat | dva
odkazovací | dva
odkazovanější | dva
odkazovaný | dva
odkazovat | dva
odklápět | pět
odklepávající | dva
odklepávanější | dva
odklepávaný | dva
odklepávat | dva
odklikávaný | dva
odklikávat | dva
odklínovaný | dva
odklínovat | dva
odklizovací | dva
odklizovat | dva
odkloňovat | dva
odklopovat | dva
odkmitávat | dva
odkolébávat | dva
odkomentovanější | dva
odkomentovaný | dva
odkomentovat | dva
odkopávaný | dva
odkopávat | dva
odkopávka | dva
odkorňovací | dva
odkorňovaný | dva
odkorňovat | dva
odkoukávat | dva
odkousávající | dva
odkousávanější | dva
odkousávaný | dva
odkousávat | dva
odkráglovaný | dva
odkráglovat | dva
odkrajovaný | dva
odkrajovat | dva
odkrojovat | dva
odkrokovaný | dva
odkrokovat | dva
odkrouhávaný | dva
odkrouhávat | dva
odkrývající | dva
odkrývanější | dva
odkrývaný | dva
odkrývatelnější | dva
odkrývatelný | dva
odkrývat | dva
odkrývka | dva
odkulhávanější | dva
odkulhávaný | dva
odkulhávat | dva
odkulovaný | dva
odkulovat | dva
odkupovaný | dva
odkupovat | dva
odkusovanější | dva
odkusovaný | dva
odkusovat | dva
odkvasit | dva
odkvašení | dva
odkvašený | dva
odkvétající | dva
odkvétající | dva
odkvétat | dva
odkyselovaný | dva
odkyselovat | dva
odkysličovadlo | dva
odkysličovaný | dva
odkysličovat | dva
odkývaný | dva
odkývat | dva
odlaďovač | dva
odlaďovaný | dva
odlaďovat | dva
odlakovač | dva
odlakovaný | dva
odlakovat | dva
odlamovaný | dva
odlamovat | dva
odléhávat | dva
odlehčovací | dva
odlehčovanější | dva
odlehčovaný | dva
odlehčovat | dva
odlepovaný | dva
odlepovat | dva
odleptávaný | dva
odleptávat | dva
odlesňovat | dva
odlétávat | dva
odletovaný | dva
odletovat | dva
odleva | dva
odlévací | dva
odlévající | dva
odlévaný | dva
odlévárna | dva
odlévat | dva
odličovací | dva
odlišovaný | dva
odlišovat | dva
odlítávat | dva
odlívanější | dva
odlívaný | dva
odlívat | dva
odlivečka | dva
odlivka | dva
odloupávaný | dva
odloupávat | dva
odlučovací | dva
odlučovač | dva
odlučovaný | dva
odlučovat | dva
odlupovaný | dva
odlupovat | dva
odmagnetizovanější | dva
odmagnetizovaný | dva
odmagnetizovat | dva
odmapovaný | dva
odmapovat | dva
odmaskovaný | dva
odmaskovat | dva
odmašírovaný | dva
odmašírovat | dva
odmašťovací | dva
odmašťovač | dva
odmašťovadlo | dva
odmašťovaný | dva
odmašťovat | dva
odmatematizovaný | dva
odmatematizovat | dva
odmaturovat | dva
odmazávající | dva
odmazávaný | dva
odmazávat | dva
odměňovanější | dva
odměňovaný | dva
odměňovat | dva
odměřovaný | dva
odměřovat | dva
odměšovaný | dva
odměšovat | dva
odmetávaný | dva
odmetávat | dva
odminovací | dva
odminovat | dva
odmixovaný | dva
odmixovat | dva
odmlčovat | dva
odmlouvačný | dva
odmlouvající | dva
odmlouvaný | dva
odmlouvat | dva
odmlouvavější | dva
odmluva | dva
odmlžovaný | dva
odmlžovat | dva
odmocňovanější | dva
odmocňovaný | dva
odmocňovat | dva
odmontovaný | dva
odmontovat | dva
odmořovat | dva
odmotávaný | dva
odmotávat | dva
odmrazovač | dva
odmrazovat | dva
odmršťovanější | dva
odmršťovaný | dva
odmršťovat | dva
odnacizovaný | dva
odnacizovat | dva
odnaučovaný | dva
odnaučovat | dva
odnepaměti | pět
odokujovací | dva
odokujovaný | dva
odokujovat | dva
odolávající | dva
odolávat | dva
odoperovaný | dva
odoperovat | dva
odorizovaný | dva
odorizovat | dva
odosobňovaný | dva
odosobňovat | dva
odpálkovaný | dva
odpálkovat | dva
odpalovací | dva
odpalovač | dva
odpalovačův | dva
odpalovanější | dva
odpalovaní | dva
odpalovaný | dva
odpalovat | dva
odpapouškovaný | dva
odpapouškovat | dva
odpařovací | dva
odpařovač | dva
odpařovaný | dva
odpařovat | dva
odpeckovaný | dva
odpeckovat | dva
odpečeťovaný | dva
odpečeťovat | dva
odpěnit | pět
odpěňovač | dva
odpěňovadlo | dva
odpěňovat | dva pět
odpesíkovací | dva
odpesíkovaný | dva
odpesíkovat | dva
odpichovaný | dva
odpichovat | dva
odpilovaný | dva
odpilovat | dva
odpisovanější | dva
odpisovaný | dva
odpisovat | dva
odplavat | dva
odplouvající | dva
odplouvaný | dva
odplouvat | dva
odplozovaný | dva
odplozovat | dva
odplsťovací | dva
odplsťovaný | dva
odplsťovat | dva
odpluchovat | dva
odplynovaný | dva
odplynovat | dva
odplývající | dva
odplývat | dva
odpočítávající | dva
odpočítávaný | dva
odpočítávat | dva
odpočívadlo | dva
odpočívající | dva
odpočívárna | dva
odpočívat | dva
odpočívka | dva
odpojovací | dva
odpojovač | dva
odpojovanější | dva
odpojovaný | dva
odpojovat | dva
odpolitizovaný | dva
odpolitizovat | dva
odpopelňovací | dva
odporovací | dva
odporovaný | dva
odporovat | dva
odporovatelný | dva
odposlouchávací | dva
odposlouchávač | dva
odposlouchávačův | dva
odposlouchávající | dva
odposlouchávanější | dva
odposlouchávaný | dva
odposlouchávat | dva
odpouštět | pět
odpoutávající | dva
odpoutávaný | dva
odpoutávat | dva
odpovědna | dva
odpovědnostní | pět
odpovídací | dva
odpovídač | dva
odpovídající | dva
odpovídanější | dva
odpovídaný | dva
odpovídat | dva
odpozorovaný | dva
odpozorovat | dva
odpracovanější | dva
odpracovaný | dva
odpracovat | dva
odprašovací | dva
odprašovaný | dva
odprašovat | dva
odprava | dva
odprava | dva
odpreparovaný | dva
odpreparovat | dva
odprošovaný | dva
odprošovat | dva
odprýskávaný | dva
odprýskávat | dva
odpryskyřičovač | dva
odpuzovač | dva
odpuzovaný | dva
odpuzovat | dva
odpykávající | dva
odpykávat | dva
odrazovaný | dva
odrazovat | dva
odrbávaný | dva
odrbávat | dva
odreagovaný | dva
odreagovat | dva
odreagovatelný | dva
odrecitovat | dva
odregistrovaný | dva
odregistrovat | dva
odrezovací | dva
odrezovač | dva
odrezovaný | dva
odrezovat | dva
odročovací | dva
odročovaný | dva
odročovat | dva
odrolovaný | dva
odrolovat | dva
odrotovaný | dva
odrotovat | dva
odrovnaný | dva
odrovnat | dva
odrozmazávanější | dva
odrozmazávaný | dva
odrušovanější | dva
odrušovaný | dva
odrušovat | dva
odrušovatelnější | dva
odrušovatelný | dva
odrybňovanější | dva
odrybňovaný | dva
odrybňovat | dva
odrýpávaný | dva
odrýpávat | dva
odrypovat | dva
odrývací | dva
odrývaný | dva
odrývat | dva
odřazovaný | dva
odřazovat | dva
odřepíkovací | dva
odřepíkovaný | dva
odřepíkovat | dva
odřezávací | dva
odřezávající | dva
odřezávanější | dva
odřezávaný | dva
odřezávat | dva
odříkávaččin | dva
odříkávač | dva
odříkávačův | dva
odříkávaný | dva
odříkávat | dva
odsávací | dva
odsavač | dva
odsávající | dva
odsávaný | dva
odsávat | dva
odsazovaný | dva
odsekávající | dva
odsekávaný | dva
odsekávat | dva
odsemeňovací | dva osm
odsemenování | osm
odsemeňování | osm
odsemeňovaný | dva osm
odsemenovat | dva osm
odsemeňovat | dva osm
odseparovaný | dva
odseparovat | dva
odsexualizovaný | dva
odsexualizovat | dva
odsignalizovaný | dva
odsignalizovat | dva
odsimulování | osm
odsimulovaný | dva osm
odsimulovat | dva osm
odsimulovávání | osm
odsimulovávaný | osm
odsimulovávat | osm
odsiřovací | dva
odsiřovaný | dva
odsiřovat | dva
odskakovat | dva
odsmradit | osm
odsolovací | dva
odsolovaný | dva
odsolovat | dva
odsouhlasovaný | dva
odsouhlasovat | dva
odsouvající | dva
odsouvaný | dva
odsouvat | dva
odstartovaný | dva
odstartovat | dva
odstátňovaný | dva
odstátňovat | dva
odstávající | dva
odstávat | dva
odstávka | dva
odstěhovaný | dva
odstěhovat | dva
odstiňovanější | dva
odstiňovaný | dva
odstiňovat | dva
odstojím | osm
odstonávat | dva
odstonejme | osm
odstránkovaný | dva
odstránkovat | dva
odstraňovací | dva
odstraňovač | dva
odstraňovaný | dva
odstraňovat | dva
odstrašovaččin | dva
odstrašovač | dva
odstrašovačův | dva
odstrašovaný | dva
odstrašovat | dva
odstrkávaný | dva
odstrkávat | dva
odstrkovaný | dva
odstrkovat | dva
odstrojovaný | dva
odstrojovat | dva
odstrouhávanější | dva
odstrouhávaný | dva
odstrouhávat | dva
odstředivější | tři
odstředivka | tři
odstředivkový | tři
odstředivý | tři
odstřeďovací | dva
odstřeďovaný | dva
odstřeďovat | dva
odstřelit | tři
odstřelovací | dva
odstřelovač | dva
odstřelovačův | dva
odstřelovaný | dva
odstřelovat | dva
odstřihání | tři
odstřihaný | tři
odstřihat | tři
odstřihávací | dva tři
odstřihávání | tři
odstřihávaný | dva tři
odstříhávaný | dva
odstřihávat | dva tři
odstříhávat | dva
odstřih | tři
odstřihnout | tři
odstřihnutí | tři
odstřihovací | dva tři
odstřihovač | dva tři
odstřihování | tři
odstřihovaný | dva tři
odstřihovat | dva tři
odstřihující | tři
odstříkávaný | dva
odstříkávat | dva
odstřikování | tři
odstřikovaný | dva tři
odstřikovat | dva tři
odstřikovávání | tři
odstřikovávaný | tři
odstřikovávat | tři
odstřikující | tři
odstřižek | tři
odstřižení | tři
odstřižený | tři
odstůjme | osm
odstupňovaný | dva
odstupňovat | dva
odstupovat | dva
odsukovat | dva
odsunovaný | dva
odsunovat | dva
odsupět | pět
odsuzovanější | dva
odsuzovaný | dva
odsuzovat | dva
odsypávající | dva
odsypávanější | dva
odsypávaný | dva
odsypávat | dva
odšifrovaný | dva
odšifrovat | dva
odškrabávaný | dva
odškrabávat | dva
odškrabovanější | dva
odškrabovaný | dva
odškrabovat | dva
odškrtávaný | dva
odškrtávat | dva
odšlapovat | dva
odšlichtovací | dva
odšlichtovaný | dva
odšlichtovat | dva
odšplhávat | dva
odšroubovaný | dva
odšroubovat | dva
odštěpovaný | dva
odštěpovat | dva
odštětinovací | dva
odštětinovaný | dva
odštětinovat | dva
odštipovaný | dva
odštipovat | dva
odšupovat | dva
odtabuizovaný | dva
odtabuizovat | dva
odtahovanější | dva
odtahovaný | dva
odtahovat | dva
odtajňovaný | dva
odtajňovat | dva
odtajovaný | dva
odtajovat | dva
odtancovat | dva
odtávat | dva
odtesávaný | dva
odtesávat | dva
odtikávající | dva
odtikávaný | dva
odtikávat | dva
odtínávaný | dva
odtínávat | dva
odtlačovanější | dva
odtlačovaný | dva
odtlačovat | dva
odtlakovaný | dva
odtlakovat | dva
odtransportovanější | dva
odtransportovaný | dva
odtransportovat | dva
odtrasovaný | dva
odtrasovat | dva
odtrénovaný | dva
odtrénovat | dva
odtrhávací | dva
odtrhávající | dva
odtrhávanější | dva
odtrhávaný | dva
odtrhávat | dva
odtrhovaný | dva
odtrhovat | dva
odtrpět | pět
odtučňovací | dva
odtučňovat | dva
odťukávaný | dva
odťukávat | dva
odúčtovna | dva
odupávanější | dva
odupávaný | dva
odupávat | dva
odvalení | dva
odvalený | dva
odval | dva
odvalit | dva
odvalování | dva
odvalovávání | dva
odvalový | dva
odvalový | dva
odvalující | dva
odvanout | dva
odvanulý | dva
odvanutí | dva
odvanutý | dva
odvar | dva
odvárka | dva
odvázanější | dva
odvázaný | dva
odvázat | dva
odvaz | dva
odvazování | dva
odvazový | dva
odvazující | dva
odvážka | dva
odvažování | dva
odvažující | dva
odvěsna | dva
odveta | dva
odvětralejší | dva
odvětraný | dva
odvětratelný | dva
odvětrat | dva
odvíječka | dva
odvlékaný | dva
odvlékat | dva
odvolací | dva
odvolající | dva
odvolanější | dva
odvolaný | dva
odvolatelčin | dva
odvolatelnější | dva
odvolatelný | dva
odvolatel | dva
odvolatelův | dva
odvolat | dva
odvozenina | dva
odvracející | dva
odvracení | dva
odvracený | dva
odvracet | dva
odvrat | dva
odvratitelnější | dva
odvratitelný | dva
odvratný | dva
odvrtaný | dva
odvrtat | dva
odvykací | dva
odvykající | dva
odvykaný | dva
odvykat | dva
odvykládaný | dva
odvykládat | dva
odvyprávět | pět
odvysílaný | dva
odvysílat | dva
odzátkovaný | dva
odzátkovat | dva
odzbrojovací | dva
odzbrojovaný | dva
odzbrojovat | dva
odzeleňovaný | dva
odzeleňovat | dva
odznačovaný | dva
odznačovat | dva
odzobávaný | dva
odzobávat | dva
odzpívaný | dva
odzpívat | dva
odzrňovaný | dva
odzrňovat | dva
ohledávající | dva
ohledávaný | dva
ohledávat | dva
ohlodávaný | dva
ohlodávat | dva
ohodnocovanější | dva
ohodnocovaný | dva
ohodnocovat | dva
ohvězdičkovat | dva
ochraptět | pět
oindexovaný | dva
oindexovat | dva
ojídávaný | dva
ojídávat | dva
okcidentalismus | osm
okludovaný | dva
okultismus | osm
olympismus | osm
ombudsman | osm
ombudsmanův | osm
omdlévající | dva
omdlévaný | dva
omdlévat | dva
omdlívat | dva
ondulace | nula
ondulační | nula
ondulovací | nula dva
ondulovaný | nula dva
ondulovat | nula dva
opadávající | dva
opadávaný | dva
opadávat | dva
opatřit | tři
opět | pět
opětný | pět
opětovací | pět
opětování | pět
opětovaný | pět
opětovávání | pět
opětovávaný | pět
opětovný | pět
opětující | pět
opěvovat | pět
opěvovatelnější | pět
opěvovatelný | pět
oplesnivět | pět
oplešatět | pět
oplodňovací | dva
oplodňovat | dva
opodstatňovat | dva
opotřebit | tři
opotřebitelnější | tři
opotřebitelný | tři
opouštět | pět
optimismus | osm
ordinovanější | dva
ordinovaný | dva
ordinovat | dva
orfismus | osm
organismický | osm
organismus | osm
orgasmus | osm
orgiasmus | osm
orchestřiště | tři
orientalismus | osm
ornamentalismus | osm
orodovat | dva
orwellismus | osm
osamělejší | osm
osamělý | osm
osamění | osm
osamět | osm
osamocena | osm
osamocenější | osm
osamoceni | osm
osamocení | osm
osamocen | osm
osamoceno | osm
osamocenu | osm
osamoceny | osm
osamocený | osm
osamostatnění | osm
osamostatněný | osm
osamostatnit | osm
osamostatňování | osm
osamostatňovaný | osm
osamostatňovat | osm
osamostatňovávat | osm
osamostatňující | osm
osamotě | osm
osedlávaný | dva
osedlávat | dva
osemenění | osm
osemeněný | osm
osemenit | osm
osidlovací | dva
osídlovací | dva
osidlovaný | dva
osídlovaný | dva
osidlovat | dva
osídlovat | dva
osinkocementový | osm
osmaččin | osm
osmačka | osm
osmačtyřicetihodinový | osm
osmačtyřicetisekundový | osm
osmadvacetikilometrový | dva
osmadvacetimilionový | dva
osmadvacetiminutový | dva
osmadvacetistránkový | dva osm
osmadvacetistupňový | dva osm
osmahlejší | osm
osmahlý | osm
osmahnout | osm
osmahnutější | osm
osmahnutí | osm
osmahnutý | osm
osmahnutý | osm
osmák | osm
osmákův | osm
osmanský | osm
osmatřicetibodový | osm
osmatřicetihodinový | osm
osma | osm
osmažení | osm
osmažený | osm
osmažit | osm
osmdesátero | osm
osmdesateronásobný | osm
osmdesátery | osm
osmdesáterý | osm
osmdesaterý | osm
osmdesát | osm
osmdesátice | osm
osmdesátihaléřový | osm
osmdesátihektarový | osm deset
osmdesátikilometrový | deset
osmdesátikilový | osm
osmdesátikorunový | osm
osmdesátiletý | osm deset
osmdesátilitrový | osm
osmdesátimetrový | deset
osmdesátinásobný | osm
osmdesátina | osm
osmdesátistránkový | osm
osmdesátitisícovka | dva osm
osmdesátitisícový | osm
osmdesátiznakový | osm
osmdesátka | osm
osmdesátkrát | osm
osmdesátnice | osm
osmdesátničin | osm
osmdesátník | osm
osmdesátníkův | osm
osmdesátý | osm
osmělenější | osm
osmělení | osm
osmělený | osm
osmělit | osm
osmělování | osm
osmělovaný | osm
osmělovat | osm
osmělovávání | osm
osmělovávaný | osm
osmělovávat | osm
osmerák | osm
osmerákův | osm
osmerče | osm
osmerka | osm
osmerkový | osm
osmero | osm
osmeronásobný | osm
osmery | osm
osmerý | osm
osm | osm
osmibajtový | osm
osmibarevný | osm
osmibitový | osm
osmibodový | osm
osmibodový | osm
osmiboký | osm
osmibrankový | osm
osmice | osm
osmiciferný | osm
osmičelý | osm
osmičitý | osm
osmička | osm
osmičkový | osm
osmičlenný | osm
osmidenní | osm
osmidesetibytový | osm
osmifinalista | osm
osmifinalistčin | osm
osmifinalistka | osm
osmifinalistův | osm
osmihaléřový | osm
osmihektarový | osm
osmihlavý | osm
osmihodinovka | dva osm
osmihodinový | osm
osmikanálový | osm
osmikilový | osm
osmikolový | osm
osmiletka | osm
osmiletý | osm
osmilitrový | osm
osmilůžkový | osm
osminásobek | osm
osminásobný | osm
osmina | osm
osminka | osm
osminkový | osm
osminový | osm
osmiový | osm
osmipatrový | osm
osmiposchoďový | osm
osmiroční | osm
osmirolový | osm
osmiřádkový | osm
osmisáhový | osm
osmisedadlový | osm
osmisekundový | osm
osmisetčlenný | osm
osmisetkorunový | osm
osmisetletý | osm
osmisetstránkový | osm
osmisettisícový | osm
osmistavový | osm
osmistěn | osm
osmistovka | osm
osmistránkový | osm
osmistránkový | osm
osmistrunný | osm
osmistupňový | osm
osmistý | osm
osmisvazkový | osm
osmitisící | osm
osmitisícovka | osm
osmitisícový | osm
osmitřídní | osm
osmitunový | osm
osmitýdenní | osm
osmitý | osm
osmiúhelník | osm
osmiúhelníkový | osm
osmiúhlý | osm
osmiválcový | osm
osmiválec | osm
osmiverší | osm
osmiveslice | osm
osmivteřinový | tři osm
osmiwattový | osm
osmiznakový | osm
osmkrát | osm
osmkráte | osm
osmnáctero | osm
osmnácteronásobný | osm
osmnáctery | osm
osmnácterý | osm
osmnáct | osm
osmnáctibodový | osm
osmnáctibodový | osm
osmnáctice | osm
osmnáctičlenný | osm
osmnáctihlavý | osm
osmnáctihodinový | osm
osmnáctiletý | osm
osmnáctinásobný | osm
osmnáctina | osm
osmnáctipatrový | osm
osmnáctistránkový | osm
osmnáctistupňový | osm
osmnáctitisícový | osm
osmnáctitunový | osm
osmnáctka | osm
osmnáctkový | osm
osmnáctkrát | osm
osmnáctkráte | osm
